fold,alpha,qbuf,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,status,mu_final,phi_final,db_iters
9,0.9,0.0,0.05221211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,ok,9.129333446974417,0.0,2
9,0.9,0.002,0.05421211344397804,0.013183373485901108,0.014554365610815356,0.06361114462464279,0.2288021335993541,-0.01099134938793378,0.07435979633334666,-0.14781306471928443,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.039014519488493334,0.08048268311612433,0.017933672595589326,0.09437780960788267,ok,9.129333446974417,0.0,2
9,0.95,0.0,0.07638109210046802,0.013183373485901108,-0.008381973349085192,0.008613800302729069,-0.97308656510525,0.0,0.0,inf,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.012391246467694192,0.0,0.0,0.008613800302729069,ok,1.7580336221174937,0.0,2
9,0.95,0.002,0.07838109210046802,0.013183373485901108,-0.008381973349085192,0.008613800302729069,-0.97308656510525,0.0,0.0,inf,0.05448935563535651,0.13826739606132177,0.3940867998352295,-0.012391246467694192,0.0,0.0,0.008613800302729069,ok,1.7580336221174937,0.0,2
10,0.9,0.0,0.06035599093257275,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,ok,0.41937815950234403,0.0,2
10,0.9,0.002,0.062355990932572755,0.013733942620319625,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,ok,0.41937815950234403,0.0,2
10,0.95,0.0,0.08460875752738935,0.01367881481509431,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,ok,-0.2865097340978893,0.0,2
10,0.95,0.002,0.08660875752738935,0.01367881481509431,0.0,0.0,inf,0.0,0.0,inf,1.4925336174478083,0.029368804646330182,50.820373366278965,0.0,0.0,0.0,0.0,ok,-0.2865097340978893,0.0,2
11,0.9,0.0,0.03928784908265838,0.012556091546437057,0.20670211743001787,0.015327951118152439,13.485306407666362,0.2661924276119383,0.03992635435841785,6.667085735460237,0.42495985057255914,0.0671157757662445,6.331743106905877,-0.023745182984292238,0.04738176213614123,0.022406800573564555,0.0629477524911406,ok,23.13316088238586,0.0,2
11,0.9,0.002,0.04128784908265838,0.012556091546437057,0.20670211743001787,0.015327951118152439,13.485306407666362,0.2661924276119383,0.03992635435841785,6.667085735460237,0.42495985057255914,0.0671157757662445,6.331743106905877,-0.023745182984292238,0.04738176213614123,0.022406800573564555,0.0629477524911406,ok,23.13316088238586,0.0,2
11,0.95,0.0,0.06379237910964222,0.012556091546437057,0.07628299629055135,0.020296956051515158,3.7583466258161833,0.23735873006395658,0.022263186759527653,10.661489418731916,0.42495985057255914,0.0671157757662445,6.331743106905877,-0.002548946479960734,0.036583752746316915,0.011678984234660612,0.029412097802436588,ok,25.18069211606277,0.0,2
11,0.95,0.002,0.06579237910964222,0.012556091546437057,0.07628299629055135,0.020296956051515158,3.7583466258161833,0.23735873006395658,0.022263186759527653,10.661489418731916,0.42495985057255914,0.0671157757662445,6.331743106905877,-0.002548946479960734,0.036583752746316915,0.011678984234660612,0.029412097802436588,ok,25.18069211606277,0.0,2
